discrim_analysis	decision_tree	naive_bayes
0,676565656565657	0,598383838383838	0,618787878787879	0,631245791245791
0,761010101010101	0,805454545454545	0,763232323232323	0,776565656565657
0,698787878787879	0,767272727272727	0,765050505050505	0,743703703703704
0,698787878787879	0,750909090909091	0,783232323232323	0,744309764309764
0,698787878787879	0,748686868686869	0,763232323232323	0,736902356902357
0,775151515151515	0,861818181818182	0,839595959595960	0,825521885521886
0,797373737373737	0,825454545454546	0,839595959595960	0,820808080808081
0,817373737373737	0,785454545454545	0,817373737373737	0,806734006734007
0,817373737373737	0,785454545454545	0,777373737373737	0,793400673400673
0,779191919191919	0,823636363636364	0,797373737373737	0,800067340067340
0,761010101010101	0,823636363636364	0,799595959595960	0,794747474747475
0,761010101010101	0,841818181818182	0,761414141414141	0,788080808080808
0,761010101010101	0,819595959595960	0,739191919191919	0,773265993265993
0,741010101010101	0,801414141414142	0,757373737373737	0,766599326599327
0,779191919191919	0,801414141414142	0,757373737373737	0,779326599326599
0,759191919191919	0,801414141414142	0,779595959595960	0,780067340067340
0,779191919191919	0,801414141414142	0,779595959595960	0,786734006734007
0,756969696969697	0,801414141414142	0,779595959595960	0,779326599326599
0,714747474747475	0,781414141414141	0,739595959595960	0,745252525252525
0,732929292929293	0,781414141414141	0,759595959595960	0,757979797979798
0,714747474747475	0,781414141414141	0,737373737373737	0,744511784511785
0,694747474747475	0,781414141414141	0,737373737373737	0,737845117845118
0,694747474747475	0,761414141414141	0,719191919191919	0,725117845117845
0,692929292929293	0,761414141414141	0,676969696969697	0,710437710437711
0,656565656565657	0,761414141414141	0,699191919191919	0,705723905723906
0,678383838383838	0,761414141414141	0,737373737373737	0,725723905723906
0,658383838383838	0,761414141414141	0,737373737373737	0,719057239057239
0,714747474747475	0,761414141414141	0,737373737373737	0,737845117845118
0,678383838383838	0,761414141414141	0,737373737373737	0,725723905723906
0,696565656565657	0,761414141414141	0,737373737373737	0,731784511784512
0,718787878787879	0,743232323232323	0,737373737373737	0,733131313131313
0,716565656565657	0,723232323232323	0,737373737373737	0,725723905723906
0,716565656565657	0,723232323232323	0,739191919191919	0,726329966329966
0,696565656565657	0,723232323232323	0,739191919191919	0,719663299663300
0,754747474747475	0,676565656565657	0,759191919191919	0,730168350168350
0,754747474747475	0,676565656565657	0,759191919191919	0,730168350168350
0,754747474747475	0,676565656565657	0,741010101010101	0,724107744107744
0,754747474747475	0,676565656565657	0,741010101010101	0,724107744107744
0,754747474747475	0,676565656565657	0,741010101010101	0,724107744107744
0,754747474747475	0,676565656565657	0,701010101010101	0,710774410774411
